threshold,accepted_count,coverage,selective_accuracy,selective_risk,escalation_rate
0.822606159746647,1,0.02,1.0,0.0,0.98
0.7873205475509167,2,0.04,1.0,0.0,0.96
0.7855167746543885,3,0.06,0.6666666666666666,0.33333333333333337,0.94
0.7791073992848396,4,0.08,0.5,0.5,0.92
0.7676359228789806,5,0.1,0.4,0.6,0.9
0.7572954446077347,6,0.12,0.3333333333333333,0.6666666666666667,0.88
0.7434395335614682,7,0.14,0.2857142857142857,0.7142857142857143,0.86
0.7434360347688198,8,0.16,0.25,0.75,0.84
0.7397455513477326,9,0.18,0.2222222222222222,0.7777777777777778,0.8200000000000001
0.7292068630456925,10,0.2,0.3,0.7,0.8
0.7265047207474709,11,0.22,0.2727272727272727,0.7272727272727273,0.78
0.725547866523266,12,0.24,0.25,0.75,0.76
0.723831394314766,13,0.26,0.23076923076923078,0.7692307692307692,0.74
0.7229594610631467,14,0.28,0.21428571428571427,0.7857142857142857,0.72
0.7145021602511406,15,0.3,0.2,0.8,0.7
0.7144098594784737,16,0.32,0.1875,0.8125,0.6799999999999999
0.7125815398991109,17,0.34,0.23529411764705882,0.7647058823529411,0.6599999999999999
0.7066807553172112,18,0.36,0.2222222222222222,0.7777777777777778,0.64
0.7065996438264848,19,0.38,0.2631578947368421,0.736842105263158,0.62
0.7000958651304245,20,0.4,0.3,0.7,0.6
0.6994874238967896,21,0.42,0.2857142857142857,0.7142857142857143,0.5800000000000001
0.6976245556026697,22,0.44,0.3181818181818182,0.6818181818181819,0.56
0.6966814778745175,23,0.46,0.30434782608695654,0.6956521739130435,0.54
0.694235197454691,24,0.48,0.3333333333333333,0.6666666666666667,0.52
0.6940609022974968,25,0.5,0.32,0.6799999999999999,0.5
0.6924126282334329,26,0.52,0.3076923076923077,0.6923076923076923,0.48
0.6815540745854378,27,0.54,0.2962962962962963,0.7037037037037037,0.45999999999999996
0.6812245301902295,28,0.56,0.32142857142857145,0.6785714285714286,0.43999999999999995
0.6806637767702342,29,0.58,0.3103448275862069,0.6896551724137931,0.42000000000000004
0.6803500890731813,30,0.6,0.3333333333333333,0.6666666666666667,0.4
0.6801922392100097,31,0.62,0.3548387096774194,0.6451612903225806,0.38
0.6708717945031821,32,0.64,0.34375,0.65625,0.36
0.6702418401837349,33,0.66,0.3333333333333333,0.6666666666666667,0.33999999999999997
0.6639239486306906,34,0.68,0.35294117647058826,0.6470588235294117,0.31999999999999995
0.6619604853913188,35,0.7,0.37142857142857144,0.6285714285714286,0.30000000000000004
0.6609478192403913,36,0.72,0.3888888888888889,0.6111111111111112,0.28
0.6594658059999348,37,0.74,0.40540540540540543,0.5945945945945945,0.26
0.6570909906178712,38,0.76,0.42105263157894735,0.5789473684210527,0.24
0.64492052141577,39,0.78,0.4358974358974359,0.5641025641025641,0.21999999999999997
0.6429370418190956,40,0.8,0.425,0.575,0.19999999999999996
0.6427684918045997,41,0.82,0.43902439024390244,0.5609756097560976,0.18000000000000005
0.6402244555763901,42,0.84,0.42857142857142855,0.5714285714285714,0.16000000000000003
0.6393062988296152,43,0.86,0.4418604651162791,0.5581395348837209,0.14
0.6350605990737677,44,0.88,0.45454545454545453,0.5454545454545454,0.12
0.6346168203279376,45,0.9,0.4444444444444444,0.5555555555555556,0.09999999999999998
0.6308425180613995,46,0.92,0.45652173913043476,0.5434782608695652,0.07999999999999996
0.6212832437828184,47,0.94,0.44680851063829785,0.5531914893617021,0.06000000000000005
0.5998483489034698,48,0.96,0.4583333333333333,0.5416666666666667,0.040000000000000036
0.5852203899528832,49,0.98,0.4489795918367347,0.5510204081632653,0.020000000000000018
0.5779622262343764,50,1.0,0.44,0.56,0.0
